47;RICAVI DELLE VENDITE E DELLE PRESTAZIONI;0,00;61612,50
47.07;CORRISPETTIVI;0,00;55052,50
47.07.01;Corrispettivi;0,00;55052,50
47.11;RICAVI DA PRESTAZIONI;0,00;6560,00
47.11.03;Prestazioni di servizi;0,00;6560,00
53;ALTRI RICAVI E PROVENTI;0,00;234,60
53.01;PROVENTI DIVERSI;0,00;234,60
53.01.51;Altri ricavi e proventi;0,00;234,60
55;ACQUISTI DI BENI;3269,49;
55.03;ACQUISTI PER LA PRODUZIONE DI SERVIZI;1367,11;
55.03.01;Acq.beni materiali per produz. servizi;1367,11;
55.07;ACQUISTI DIVERSI;1902,38;
55.07.01;Acquisto beni strumentali inf.516,46;521,85;
55.07.17;Cancelleria varia;1339,33;
55.07.51;Materiale vario di consumo;41,20;
57;ACQUISTI DI SERVIZI;1878,84;
57.03;COSTI ACCESSORI PER VENDITE;453,32;
57.03.01;Trasporti su vendite;453,32;
57.09;COSTI PER UTENZE;1083,92;
57.09.01;Spese telefoniche ordinarie;355,13;
57.09.03;Spese telefoniche radiomobili;230,52;
57.09.13;Energia elettrica;498,27;
57.11;MANUTENZIONI MACCHINARI E ATTREZZATURE;341,60;
57.11.01;Spese manut.impianti e macchin.propri;341,60;
61;PRESTAZIONI DI LAVORO NON DIPENDENTE;216,32;
61.01;PRESTAZIONI DI LAVORO AUTONOMO;216,32;
61.01.17;Altri costi per prestazioni di terzi;216,32;
63;SPESE AMMIN.,COMM. E DI RAPPRESENTANZA;7819,00;
63.01;SPESE COMMERCIALI E DI VIAGGIO;6100,00;
63.01.01;Pubblicit…, inserzioni e affissioni;6100,00;
63.01.09;Spese per alberghi e ristoranti;0,00;
63.05;SPESE AMMINISTRATIVE E GENERALI;1719,00;
63.05.07;Servizi contabili di terzi;1715,00;
63.05.23;Valori bollati;4,00;
65;COSTI PER GODIMENTO BENI DI TERZI;2971,00;
65.01;GESTIONE IMMOBILI;1580,80;
65.01.05;Canoni locazione immobili;1580,80;
65.05;LOCAZIONI E CANONI IMPIANTI E ATTREZZ.;1390,20;
65.05.15;Canoni noleggio attrezzature;1390,20;
67;COSTI PERSONALE DIPENDENTE;22476,34;
67.01;COSTI PERSONALE DIPENDENTE;20768,34;
67.01.01;Retribuzioni lorde;17256,94;
67.01.03;Contributi INPS;3511,40;
67.03;COSTI DIVERSI PERSONALE DIPENDENTE;1708,00;
67.03.13;Ricerca, formazione e addestramento;1708,00;
71;ONERI DIVERSI DI GESTIONE;89,00;
71.01;ONERI TRIBUTARI;89,00;
71.01.07;Imposta di registro e concess. govern.;89,00;
71.03;ALTRI COSTI DI ESERCIZIO;0,00;
71.03.01;Spese, perdite e sopravvenienze passive;0,00;
75;ONERI FINANZIARI;426,21;
75.01;ONERI FINANZIARI VERSO BANCHE;426,21;
75.01.07;Commissioni e spese bancarie;426,21;
80;AMMORTAMENTI;272,47;
80.01;AMMORTAMENTI IMMOBILIZZAZ.IMMATERIALI;135,85;
80.01.53;Amm.to altre spese pluriennali;135,85;
80.03;AMMORTAMENTI IMMOBILIZZAZIONI MATERIALI;136,62;
80.03.13;Amm.ordinario impianti condizionamento;69,73;
80.03.33;Amm.to ordinario attrezz.varia e minuta;13,04;
80.03.35;Amm.to ordinario mobili e arredi;22,00;
80.03.39;Amm.ord.macchine d'ufficio elettroniche;31,85;
