27;COSTI MAT.PRIME,SUSS.,CONSUMO,MERCI;1.070,51;
27 / 5;   ACQUISTI DIVERSI;1.070,51;
27 / 5 / 16;      Materiale di cancelleria;15,12;
27 / 5 / 18;      Materiale di pulizia;30,29;
27 / 5 / 30;      Acqu.beni inf. a 516,46 Euro ded.;49,13;
27 / 5 / 34;      Acquisti vari deducibili;776,49;
27 / 5 / 40;      Carbur./lubrific.autovett.(ded.20%;79,43;
27 / 5 / 45;      Acqu.beni inf.a 516,46 Euro ded.80;120,05;
29;COSTI PER SERVIZI;61.787,46;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);175,90;
29 / 5 / 16;      Servizi vari deducibili;175,90;
29 / 10;   COSTI PER SERVIZI (COMMERCIALI);397,50;
29 / 10 / 18;      Spese rappresentanza (ded. 75%);397,50;
29 / 15;   COSTI PER SERVIZI (GENERALI);61.214,06;
29 / 15 / 10;      Sp.viaggio,vitto,all.dipend.ded.75;316,50;
29 / 15 / 11;      Servizi vari commerciali;42.304,99;
29 / 15 / 45;      Spese telefoniche (deducibili 80%);294,00;
29 / 15 / 52;      Spese legali e di consulenza;520,00;
29 / 15 / 53;      Servizi amministrativi e contabili;3.012,40;
29 / 15 / 61;      Spese buoni pasto per dipendenti;214,20;
29 / 15 / 81;      Altre spese deducibili;1.550,02;
29 / 15 / 92;      Assicur.autovetture (ded. 20%);439,00;
29 / 15 / 98;      Pedaggi autostradali (ded.20%);159,19;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;134,07;
29 / 15 / 1010;      Serv.prest.rese da prof.Minimi/For;12.196,16;
29 / 15 / 5001;"      Servizio "" Call Tracking Tel.""";73,53;
31;COSTI PER GODIMENTO BENI DI TERZI;6.953,00;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;6.953,00;
31 / 5 / 3;      Locazione uffici;6.953,00;
33;COSTI PER IL PERSONALE;37.720,24;
33 / 5;   SALARI E STIPENDI;22.864,20;
33 / 5 / 1001;      Stipendi e salari;22.864,20;
33 / 10;   ONERI SOCIALI;14.856,04;
33 / 10 / 1001;      Contributi dipendenti;14.856,04;
38;ONERI DIVERSI DI GESTIONE;1.892,96;
38 / 5;   ONERI DIVERSI DI GESTIONE;1.892,96;
38 / 5 / 9;      Imposta di registro;57,00;
38 / 5 / 23;      Contributi assoc.sind.e di categ.;1.140,00;
38 / 5 / 24;      Valori bollati;34,00;
38 / 5 / 40;      Tasse di poss.autovett.(ded.20%);239,46;
38 / 5 / 1002;      Inail titolare e soci soc.pers.;422,50;
44;RICAVI DELLE VENDITE E DELLE PREST.;;251.248,12
44 / 15;   RICAVI DELLE PRESTAZIONI;;251.248,12
44 / 15 / 1;      Prestazioni di servizi Italia;;248.259,32
44 / 15 / 2;      Prestazioni di servizi estero;;2.988,80
